RequirementText,_class_,cleaned_text
The product shall provide Error Tracking Services.The product shall help System Administrators DBAs resolve transaction errors 99% time.,US,product shall provide error tracking service product shall help system administrator dba resolve transaction error time
The product shall provide Portals.The product shall help System Administrators analyze transactions ad-hoc reporting KPIs (Key Performance Indicators),US,product shall provide portal product shall help system administrator analyze transaction hoc reporting kpis key performance indicator
The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging enable parallel processing reduce overhead communications,PE,product shall provide asynchronous messaging product shall provide asynchronous messaging enable parallel processing reduce overhead communication
The product shall provide Multi-threading Load Balancing.The product shall provide multi-threading technology well load balancing overcome data load spikes traffic.,PE,product shall provide multi threading load balancing product shall provide multi threading technology well load balancing overcome data load spike traffic
The product shall process messages within 2 seconds.The product shall maximum message processing time 2 seconds,PE,product shall process message within second product shall maximum message processing time second
The product shall poll system messages every second.The product shall poll system new messages maximum every 1 second.,PE,product shall poll system message every second product shall poll system new message maximum every second
The product shall provide Dynamic Change Support Transparent resource addition.The product shall support Transparent Resource addition Dynamic Change support provide scalability avoid service interruptions 1 day.,PE,product shall provide dynamic change support transparent resource addition product shall support transparent resource addition dynamic change support provide scalability avoid service interruption day
The product shall available 99% time. Rationale: To avoid service interruption busiest customer service response periods. The product shall available 99.99% time regular business days.,A,product shall available time rationale avoid service interruption busiest customer service response period product shall available time regular business day
The product shall robust.The product shall fault avoidance based standards adoption.,FT,product shall robust product shall fault avoidance based standard adoption
The product shall robust fault tolerance.The product shall fault tolerance using recovery technique compensatory transaction routing around failures.,FT,product shall robust fault tolerance product shall fault tolerance using recovery technique compensatory transaction routing around failure
The product shall able process transactions.The product shall process minimum 1 million transactions per year.,SC,product shall able process transaction product shall process minimum million transaction per year
The product shall platform independent.The product shall enable access type development environment platform.,O,product shall platform independent product shall enable access type development environment platform
The product shall interface CSR Datastream.The product shall exchange messages CSR EAM real time basis without direct interfaces two systems.,O,product shall interface csr datastream product shall exchange message csr eam real time basis without direct interface two system
The product shall continue operate upgrade change new resource addition.The product shall able continue operate interruption service due new resource additions.,MN,product shall continue operate upgrade change new resource addition product shall able continue operate interruption service due new resource addition
The product shall updated regular basis.The product new major feature introduced every six months quarterly maintenance releases every six months.,MN,product shall updated regular basis product new major feature introduced every six month quarterly maintenance release every six month
The product shall operate every platform.The product shall accommodate new technology without change architecture.,MN,product shall operate every platform product shall accommodate new technology without change architecture
The product shall security.The product shall provide authentication authorization.,SE,product shall security product shall provide authentication authorization
The product shall information Security. The product shall enable privacy encryption WS-Security Integrity Checking.,SE,product shall information security product shall enable privacy encryption security integrity checking
The product shall audit capabilities.The product shall store messages minimum one year audit transaction tracking purposes.,SE,product shall audit capability product shall store message minimum one year audit transaction tracking purpose
The system shall use IBM CCR branding standards. The interface must one IBM logo one CCR logo.,LF,system shall use ibm ccr branding standard interface must one ibm logo one ccr logo
The system shall displayable work computer CCR user may have. The system interface shall formatted display 800 600 pixel resolution.,LF,system shall displayable work computer ccr user may system interface shall formatted display pixel resolution
The system interface use CCR nomenclature. The system must use nomenclature used existing WCS system reports,LF,system interface use ccr nomenclature system must use nomenclature used existing wcs system report
The interface must summarize data fashion that\92s appealing CCR management. Every report type must least one high level summary shown results dashboard/interface,LF,interface must summarize data fashion appealing ccr management every report type must least one high level summary shown result dashboard interface
The system must use point click interface. 100% selection navigation functionality must able activated/selected either mouse keyboard,US,system must use point click interface selection navigation functionality must able activated selected either mouse keyboard
The interface shall easy use. 90% users able successfully use system generate report first use. The interface adhere IBM usability standards.,US,interface shall easy use user able successfully use system generate report first use interface adhere ibm usability standard
Reports must easy generate. Reports must generated within one button click exported within one button click (after selecting report),US,report must easy generate report must generated within one button click exported within one button click selecting report
A user shall able use system without instruction short amount time. After one use user understand remember 90% system usage navigation.,US,user shall able use system without instruction short amount time one use user understand remember system usage navigation
All CCR users shall receive training WCS system deployed. One training session held 100% CCR users system deployment (based CCR user available),US,ccr user shall receive training wcs system deployed one training session held ccr user system deployment based ccr user available
The WCS system shall use appropriate nomenclature terminology defined Corporate Community Grants organization. All interfaces reports undergo usability tests CCR users.,US,wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user
The WCS system shall available times long IBM\92s internal intranet W3 accessible. The WCS system available 95% time IBM\92s internal intranet W3 available.,A,wcs system shall available time long ibm internal intranet accessible wcs system available time ibm internal intranet available
The WCS system shall ability connect designated WCS databases currently included system.,SC,wcs system shall ability connect designated wcs database currently included system
The WCS system shall ability include data regions outside United States accessed users outside United States approved CCR management.,SC,wcs system shall ability include data region outside united state accessed user outside united state approved ccr management
The WCS system shall run Windows environment. The WCS shall accessed users Internet IBM computer running Windows 2000 operating system.,O,wcs system shall run window environment wcs shall accessed user internet ibm computer running window operating system
The Brio portion WCS system must able export files spreadsheet form (Microsoft Excel Lotus 1-2-3 formats). Brio provide buttons user interface produce/export reports .xls .123 file formats.,O,brio portion wcs system must able export file spreadsheet form microsoft excel lotus format brio provide button user interface produce export report xl file format
The WCS system must run queries WCS databases (on specified day) update available data available CCR users. Queries must made external databases data refresh week.,MN,wcs system must run query wcs database specified day update available data available ccr user query must made external database data refresh week
All changes updates additions WCS system shall updated WCS Developer WCS User Guides. Every change must reflected WCS system documentation,MN,change update addition wcs system shall updated wcs developer wcs user guide every change must reflected wcs system documentation
The system shall accessed authorized Corporate Community Grants (CCR) employees. Users must authenticated using IBM intranet user name password.,SE,system shall accessed authorized corporate community grant ccr employee user must authenticated using ibm intranet user name password
The WCS system shall allow automatic logins user. Cookies containing WCS login information user stored user\92s computer.,SE,wcs system shall allow automatic logins user cooky containing wcs login information user stored user computer
Each team owner need use username password order authenticated reach team owner\92s page,SE,team owner need use username password order authenticated reach team owner page
The Commissioner authorized user per league adjust league settings.,SE,commissioner authorized user per league adjust league setting
Each page shall contain navigation menu shows index current page contained.,LF,page shall contain navigation menu show index current page contained
Each page shall contain similar format action items one location navigation buttons different location.,LF,page shall contain similar format action item one location navigation button different location
The message board shall contain 5 recently posted messages league page. The messages contain first 150 characters message.,LF,message board shall contain recently posted message league page message contain first character message
A new user shall able navigate league team pages within 30 seconds reaching start-up page.,US,new user shall able navigate league team page within second reaching start page
Users shall able reach \91add\92 \91drop\92 \91trade player\92 pages one click team owner\92s page.,US,user shall able reach add drop trade player page one click team owner page
Users shall able view least 25 NFL player statistics points page.,US,user shall able view least nfl player statistic point page
The application shall ask user confirm dropping player trading player performing action.,US,application shall ask user confirm dropping player trading player performing action
The application shall able complete every user transaction within one fourth second receiving request network.,PE,application shall able complete every user transaction within one fourth second receiving request network
The application shall downtime 10 minutes per year.,A,application shall downtime minute per year
The application shall run web application server.,O,application shall run web application server
A primary database used store cached data active users.,O,primary database used store cached data active user
A secondary database used store historical statistics data.,O,secondary database used store historical statistic data
Application updates shall occur 3AM 6 AM CST Wednesday morning middle NFL season.,MN,application update shall occur cst wednesday morning middle nfl season
New System version releases shall released beginning NFL season.,MN,new system version release shall released beginning nfl season
The RFS system available 24/7 especially budgeting period. The RFS system shall available 90% time year 98% budgeting period. 2% time system become available within 1 hour time situation reported.,A,rf system available especially budgeting period rf system shall available time year budgeting period time system become available within hour time situation reported
98% user workstations shall meet minimum hardware requirements prior implementation. Minimum Hard Disk Space: 400MB.,O,user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space
98% user workstations shall meet minimum software requirements prior implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,O,user workstation shall meet minimum software requirement prior implementation microsoft internet explorer microsoft net framework microsoft internet explorer web control
The RFS system able easily interface BDW environment order load data. \95 7 data files shall received BDW loaded RFS system within 3 hours one day prior start budgeting process every year. The data October month-end. Test files (7) shall loaded 5 times throughout year BDW.,O,rf system able easily interface bdw environment order load data data file shall received bdw loaded rf system within hour one day prior start budgeting process every year data october month end test file shall loaded time throughout year bdw
Changes revenue expense formulae must applied RFS system every year prior budgeting process start. Revenue expense formulae updated within one week receipt 2 weeks allotted testing budget calculations conducted jointly project development team PCG Finance.,MN,change revenue expense formula must applied rf system every year prior budgeting process start revenue expense formula updated within one week receipt week allotted testing budget calculation conducted jointly project development team pcg finance
New branches/complexes/districts/regions revenue/expense accounts added BDW must reflected RFS system. 100% entities (mentioned above) available October month-end loaded RFS system prior budget start process.,MN,new branch complex district region revenue expense account added bdw must reflected rf system entity mentioned available october month end loaded rf system prior budget start process
Only authorized user shall access RFS system. ONLY users exist UAS system RFS system assigned role(s) shall access RFS system use it.,SE,authorized user shall access rf system user exist uas system rf system assigned role shall access rf system use
User access limited permissions granted role(s) Each level PCG hierarchy assigned role users assigned roles. Access functionality within RFS system dependent privileges/permission assigned role..,SE,user access limited permission granted role level pcg hierarchy assigned role user assigned role access functionality within rf system dependent privilege permission assigned role
The product must comply intranet page standards requirements ENET Securities. 95% product look & feel approved Architecture group prior implementation. The remaining 5% corrected approved within one month product release.,LF,product must comply intranet page standard requirement enet security product look feel approved architecture group prior implementation remaining corrected approved within one month product release
The intranet pages display appropriately resolutions 800x600 higher. The display pages correct 95% resolutions prior implementation. The remaining 5% corrected within week notification incorrect display.,LF,intranet page display appropriately resolution higher display page correct resolution prior implementation remaining corrected within week notification incorrect display
The users able easily use system successfully complete budgets within stipulated time completion. With week training prior product implementation 98% users shall complete budgets within stipulated time.,US,user able easily use system successfully complete budget within stipulated time completion week training prior product implementation user shall complete budget within stipulated time
The product interface fast. The response time product interface exceed 2 seconds 90% time. For 10% time response time 10 seconds.not 10 seconds.,PE,product interface fast response time product interface exceed second time time response time second second
The system shall operate Unix Windows operating systems.,PO,system shall operate unix window operating system
"The system shall evoked typing ""pine"" command shell prompt.",O,system shall evoked typing pine command shell prompt
The system shall use SMTP mail protocol.,O,system shall use smtp mail protocol
The system shall support ability perform send receive operation.,F,system shall support ability perform send receive operation
The system shall support ability perform send operation.,F,system shall support ability perform send operation
The system shall support ability perform receive operation.,F,system shall support ability perform receive operation
The system shall use text-based interface display listing available mail.,LF,system shall use text based interface display listing available mail
The system shall help system offers tips explanation screen item screens upon demand.,US,system shall help system offer tip explanation screen item screen upon demand
The system shall display embed message date/timestamp message sent.,F,system shall display embed message date timestamp message sent
The system shall allow text search users may use find mail messages.,F,system shall allow text search user may use find mail message
The system search feature support use regular expressions search.,F,system search feature support use regular expression search
The system shall provide option withdraw money.,F,system shall provide option withdraw money
The system shall query user amount money.,F,system shall query user amount money
The system shall query user account type.,F,system shall query user account type
The system shall validate amount available user's account releasing funds user.,F,system shall validate amount available user account releasing fund user
The system shall validate amount multiple $20.,F,system shall validate amount multiple
The system shall debit user's account upon withdrawal funds.,F,system shall debit user account upon withdrawal fund
The system shall able issue specific amount money user.,F,system shall able issue specific amount money user
The meeting scheduler system shall able select participant important participant.,F,meeting scheduler system shall able select participant important participant
The meeting scheduler system shall cancel meeting due canceling important participant.,F,meeting scheduler system shall cancel meeting due canceling important participant
The meeting scheduler system shall reschedule meeting support conflict resolutions.,F,meeting scheduler system shall reschedule meeting support conflict resolution
The meeting scheduler shall accessed Web.,O,meeting scheduler shall accessed web
The meeting scheduler system may (optionally) automatically propose another meeting current meeting canceled important participant.,F,meeting scheduler system may optionally automatically propose another meeting current meeting canceled important participant
"The meeting scheduler system may provide ""meeting initiator"" summary scan ""potential meeting participants"" showing available ""time slots"" schedule conflicts means informing ""meeting initiator"" overall results system.",F,meeting scheduler system may provide meeting initiator summary scan potential meeting participant showing available time slot schedule conflict mean informing meeting initiator overall result system
The meeting scheduler system may able include agenda meeting proposal.,F,meeting scheduler system may able include agenda meeting proposal
"The meeting scheduler system may suggest ""virtual meeting"" available ""time slots"" location available feasible meeting.",F,meeting scheduler system may suggest virtual meeting available time slot location available feasible meeting
The meeting scheduler system may able include list required equipment meeting proposal.,F,meeting scheduler system may able include list required equipment meeting proposal
"A meeting scheduler system temporarily reserve ""time slots"" proposed meeting.",F,meeting scheduler system temporarily reserve time slot proposed meeting
"A meeting scheduler system inform ""potential meeting participant"" meeting.",F,meeting scheduler system inform potential meeting participant meeting
The system must easy use managers chefs need read extensive amount manuals.,US,system must easy use manager chef need read extensive amount manual
The system must quickly accessible managers chefs.,US,system must quickly accessible manager chef
The system must intuitive simple way displays relevant data relationships.,US,system must intuitive simple way display relevant data relationship
The menus system must easily navigable users buttons easy understand.,US,menu system must easily navigable user button easy understand
All functions system must available user every time system turned on.,A,function system must available user every time system turned
The calculations performed system must comply according norms set user vary unless explicitly changed user.,L,calculation performed system must comply according norm set user vary unless explicitly changed user
The client agree EULA using software.,L,client agree eula using software
All Web pages generated system shall fully downloadable 10 seconds 40KBps modem connection.,PE,web page generated system shall fully downloadable second kbps modem connection
Responses queries shall take longer 7 seconds load onto screen user submits query.,PE,response query shall take longer second load onto screen user submits query
The system shall display confirmation messages users within 4 seconds user submits information system.,PE,system shall display confirmation message user within second user submits information system
All network transactions involve financial information personally identifiable information shall encrypted.,SE,network transaction involve financial information personally identifiable information shall encrypted
Users shall required log Cafeteria Ordering System operations except viewing menu.,F,user shall required log cafeteria ordering system operation except viewing menu
Patrons shall log according restricted computer system access policy.,SE,patron shall log according restricted computer system access policy
The system shall permit cafeteria staff members list authorized Menu Managers create edit menus.,F,system shall permit cafeteria staff member list authorized menu manager create edit menu
Only users authorized home access corporate Intranet may use COS non-company locations.,SE,user authorized home access corporate intranet may use co non company location
Programmers application developers access source code address bugs system enhancements deemed necessary. Network Administrator DBA support also required maintain 24x7 system uptime.,A,programmer application developer access source code address bug system enhancement deemed necessary network administrator dba support also required maintain system uptime
System security access levels provided online system. There varying levels system access functional authority. Each student's access limited his/her registration records. Only authorized system administrator(s) access student registration records.,SE,system security access level provided online system varying level system access functional authority student access limited registration record authorized system administrator access student registration record
"The online registration system ""self-service style"" system shall initially address student registration needs.",F,online registration system self service style system shall initially address student registration need
All data entry forms application match Microsoft Excel hardcopy counterparts closely possible. Hardcopies forms provided design team second requirements interview.,O,data entry form application match microsoft excel hardcopy counterpart closely possible hardcopies form provided design team second requirement interview
95% users need read user manual able use application.,US,user need read user manual able use application
Changes made Manage My ID website adopted without altering iOS application.,MN,change made manage website adopted without altering io application
The application connected Internet.,A,application connected internet
The application connected GPS device.,A,application connected gps device
The application easy extend. The code written way favors implementation new functions.,MN,application easy extend code written way favor implementation new function
Test environments built application allow testing applications different functions.,MN,test environment built application allow testing application different function
The application portable iOS Android.,PO,application portable io android
The system shall show tabbed display (or equivalent functionality) campus map one tab info recently announced building other.,LF,system shall show tabbed display equivalent functionality campus map one tab info recently announced building
The system shall allow user scroll campus map campus map tab.,US,system shall allow user scroll campus map campus map tab
The campus map shall provide visual clues regarding areas prepared audio therefore may selected.,LF,campus map shall provide visual clue regarding area prepared audio therefore may selected
The campus map shall pause/resume button. The pause resume button allow user scroll select buildings without interrupted automatic search announce feature.,LF,campus map shall pause resume button pause resume button allow user scroll select building without interrupted automatic search announce feature
The system shall provide way return startup screen.,US,system shall provide way return startup screen
It generate report registered complaint admin response report user submitted queries.,F,generate report registered complaint admin response report user submitted query
The system maintain correct schedules labs documentation lab equipment.,F,system maintain correct schedule lab documentation lab equipment
The system use company colors logos.,LF,system use company color logo
The system shall capable restoring previous state event failure (e.g. system crash power loss).,FT,system shall capable restoring previous state event failure system crash power loss
The system shall able display menu times facilitate manual order taking need arise.,LF,system shall able display menu time facilitate manual order taking need arise
The system shall utilise periodic 30-second keep-alive messages tablets server monitor tablet operational status.,O,system shall utilise periodic second keep alive message tablet server monitor tablet operational status
The system shall flag tablets fail send timely keep-alive messages non-operational disassociate assigned waiter tablet.,FT,system shall flag tablet fail send timely keep alive message non operational disassociate assigned waiter tablet
A waiter password used tablet login must bit-strength least 64 bits.,SE,waiter password used tablet login must bit strength least bit
A waiter password used tablet login must changed every three months.,SE,waiter password used tablet login must changed every three month
A waiter shall able log one tablet given instance time.,SE,waiter shall able log one tablet given instance time
A waiter attempts log second tablet already logged another tablet shall rejected notified tablets.,SE,waiter attempt log second tablet already logged another tablet shall rejected notified tablet
A display shall require user log in.,SE,display shall require user log
A surface computer shall require user log in.,SE,surface computer shall require user log
A tablet shall require user log using username password.,SE,tablet shall require user log using username password
The system fully function major browsers.,PO,system fully function major browser
The system support mobile users way.,PO,system support mobile user way
Responses view information shall take longer 5 seconds appear screen.,PE,response view information shall take longer second appear screen
The system shall accommodate large data items without fault.,FT,system shall accommodate large data item without fault
System use secured database.,SE,system use secured database
Unauthorised users read data without modifying anything.,SE,unauthorised user read data without modifying anything
ABS shall handle expected unexpected errors ways prevent loss information long downtime period.,FT,ab shall handle expected unexpected error way prevent loss information long downtime period
Authenticate Login user web app.,F,authenticate login user web app
Enable new users register tech support system.,F,enable new user register tech support system
Enable registered user change password forgets password.,F,enable registered user change password forgets password
Enable registered user view profile. Additional information viz. questions asked answers posted also displayed.,F,enable registered user view profile additional information viz question asked answer posted also displayed
Enable user view questions corresponding answers.,F,enable user view question corresponding answer
Enable logged user ask questions.,F,enable logged user ask question
Enable logged user post answers.,F,enable logged user post answer
Enable logged user vote vote answers.,F,enable logged user vote vote answer
Provide interface admin approve posts posts visible without admin approval.,F,provide interface admin approve post post visible without admin approval
Enable admin generate reports contains posts corresponding replies.,F,enable admin generate report contains post corresponding reply
Information transmission securely transmitted server without changes information.,SE,information transmission securely transmitted server without change information
Be intuitive even first time users,LF,intuitive even first time user
Flea Market system interface web server RDBMS software using APIs provided implementation language,O,flea market system interface web server rdbms software using apis provided implementation language
All transactions Flea Market require valid user ID password.,SE,transaction flea market require valid user password
Secure data transfer Internet could provided using SSL encryption configured host system administrator.,SE,secure data transfer internet could provided using ssl encryption configured host system administrator
The IP addresses transaction made logged.,SE,address transaction made logged
User passwords stored database encrypted format.,SE,user password stored database encrypted format
Most system functions controlled using administrative interface.,F,system function controlled using administrative interface
Detailed documentation code SRS enable easy maintenance Flea Market.,MN,detailed documentation code sr enable easy maintenance flea market
Information recorded must include optional field context.,F,information recorded must include optional field context
Information tagged according entering data.,F,information tagged according entering data
It must able download recent medical record.,F,must able download recent medical record
It must store recent copy information application data folder.,F,must store recent copy information application data folder
It must update parts changed connecting server.,O,must update part changed connecting server
It must able change update information server.,O,must able change update information server
The application must log user exited.,SE,application must log user exited
A correct combination username password required user login.,SE,correct combination username password required user login
It give drill-down view data medical record logging in.,LF,give drill view data medical record logging
The user must able set option hide information based tagged it.,F,user must able set option hide information based tagged
The user must able add photos his/her photo library his/her medical record.,F,user must able add photo photo library medical record
It must allow user login.,F,must allow user login
It must allow user logout.,F,must allow user logout
All information must viewable website.,F,information must viewable website
All information must updatable website.,F,information must updatable website
It must allow user download backup medical information.,F,must allow user download backup medical information
Logout must automatic 1 hour inactivity.,SE,logout must automatic hour inactivity
Full data backups must created daily.,SE,full data backup must created daily
A user must logged able view edit medical information.,F,user must logged able view edit medical information
Each account must securely store data.,SE,account must securely store data
Each account must separate identifying account number.,F,account must separate identifying account number
The system shall allow user choose filling want.,F,system shall allow user choose filling want
The system shall allow user choose preferable topping.,F,system shall allow user choose preferable topping
The system shall allow user decorate doughnut.,F,system shall allow user decorate doughnut
The system shall give user opportunity user choose selection doughnut provided.,F,system shall give user opportunity user choose selection doughnut provided
The system take customer name.,F,system take customer name
The system keep customer contact number.,F,system keep customer contact number
The system keep customer email.,F,system keep customer email
The system ask user key pickup date.,F,system ask user key pickup date
The system require user state time doughnut delivered.,F,system require user state time doughnut delivered
The system keep location doughnut send.,O,system keep location doughnut send
The website available whenever users want use it.,A,website available whenever user want use
The system use SSL (secured socket layer) transactions include confidential customer information.,SE,system use ssl secured socket layer transaction include confidential customer information
The system must automatically log customers period inactivity.,SE,system must automatically log customer period inactivity
The system leave cookies customer's computer containing user's password.,SE,system leave cooky customer computer containing user password
The system's back-end servers shall accessible authenticated administrators.,SE,system back end server shall accessible authenticated administrator
Sensitive data encrypted sent insecure connections like internet.,SE,sensitive data encrypted sent insecure connection like internet
The system provides storage databases redundant computers automatic switchover.,O,system provides storage database redundant computer automatic switchover
The reliability overall program depends reliability separate components. The main pillar reliability system backup database continuously maintained updated reflect recent changes.,FT,reliability overall program depends reliability separate component main pillar reliability system backup database continuously maintained updated reflect recent change
An end-user may use system OS; either Windows Linux.,PO,end user may use system either window linux
The logo current basic design registration system displayed. The system attractive according clients. The design color make users feel comfortable using system instead flashing useless colors screen. The design also reflect seriousness environment.,LF,logo current basic design registration system displayed system attractive according client design color make user feel comfortable using system instead flashing useless color screen design also reflect seriousness environment
The system able manage information incoming database catalogue.,O,system able manage information incoming database catalogue
The product Web based therefore used environment allows Web access.,PO,product web based therefore used environment allows web access
For system successfully operate registration system integrated IT services portal.,O,system successfully operate registration system integrated service portal
The system need entirely self-supporting since users would using register courses.,US,system need entirely self supporting since user would using register course
The Web interface compatible standards order usable via major Web browsers wide variety environments.,PO,web interface compatible standard order usable via major web browser wide variety environment
"Everyone (stakeholders guests) access system catalogue. Every client must secure private access his/her data. The service man access every part system. All accesses (except ""guest tour"" access) require identification ID password.",SE,everyone stakeholder guest access system catalogue every client must secure private access data service man access every part system access except guest tour access require identification password
The system develop security system reduce minimum possibility corruption systems and/or humans.,SE,system develop security system reduce minimum possibility corruption system human
The Operational Interface shall Mean Time Between Failures less 7 days.,FT,operational interface shall mean time failure less day
The system shall available 99.5% time.,A,system shall available time
The software system needs robust security mechanism place unauthorized users allowed access parts system.,SE,software system need robust security mechanism place unauthorized user allowed access part system
Each user shall either trusted trusted.,SE,user shall either trusted trusted
All source code development related documents shall controlled version control system.,MN,source code development related document shall controlled version control system
All source code shall adhere agreed upon well-defined set coding standards development language used.,MN,source code shall adhere agreed upon well defined set coding standard development language used
Since software must run several popular hardware platforms goal achieve reasonable level platform independence.,PO,since software must run several popular hardware platform goal achieve reasonable level platform independence
High level performance requires high speed network high level connectivity.,PE,high level performance requires high speed network high level connectivity
The available server must reliable network connectivity supermarket proper smooth flow operations data.,O,available server must reliable network connectivity supermarket proper smooth flow operation data
Every user software provided unique login ID password stored database hashed SHA2 algorithm.,SE,every user software provided unique login password stored database hashed sha algorithm
The software available use supermarket opening time closing time.,A,software available use supermarket opening time closing time
The system shall accommodate high number items users without fault.,FT,system shall accommodate high number item user without fault
System use shall cause harm human users.,SE,system use shall cause harm human user
System use secured database,SE,system use secured database
Normal users read information cannot edit modify anything except personal information.,SE,normal user read information cannot edit modify anything except personal information
System different types users every user access constraints.,SE,system different type user every user access constraint
Control database keep track records customers employee details.,F,control database keep track record customer employee detail
Contact vendors give permission sell product site testing product's quality.,F,contact vendor give permission sell product site testing product quality
View details employees control whole site.,F,view detail employee control whole site
Customers must valid login id enter site.,SE,customer must valid login enter site
New users sign creating new ID.,F,new user sign creating new
Can view available products compare make choice purchasing products.,F,view available product compare make choice purchasing product
Can purchase product valid credit card.,F,purchase product valid credit card
Can give feedback 24X7 Customer Care Service center impression site services.,F,give feedback customer care service center impression site service
Customer must logout site purchasing products.,F,customer must logout site purchasing product
Can visit site without registration.,F,visit site without registration
Vendors must take permission Administrator selling products site. Administrator test product's quality according market price permit vendor selling purpose.,F,vendor must take permission administrator selling product site administrator test product quality according market price permit vendor selling purpose
Can consult Administrator regarding product's quality advertisements.,F,consult administrator regarding product quality advertisement
View personal details customer.,F,view personal detail customer
Responsible properly allocating selected product according customer's choice delivering product customer.,F,responsible properly allocating selected product according customer choice delivering product customer
Keep track product item's stocks selling purpose.,F,keep track product item stock selling purpose
Responsible informing administrator product item's stock goes minimum level.,F,responsible informing administrator product item stock go minimum level
Taking permission Administrator product purchased vendor.,F,taking permission administrator product purchased vendor
Responsible managing stocks product items.,F,responsible managing stock product item
Keep track payment transactions made customers update payment information.,F,keep track payment transaction made customer update payment information
Responsible contacting banks validation a/c number provided customer purchasing make transaction given a/c.,F,responsible contacting bank validation number provided customer purchasing make transaction given
Consult Administrator payment details customers updating database.,F,consult administrator payment detail customer updating database
Provide feasible solutions customers complaints queries.,F,provide feasible solution customer complaint query
The system require user state time doughnut delivered,F,system require user state time doughnut delivered
The system expected reasonable short time response. The voter able login able get response requests 2-3 seconds.,PE,system expected reasonable short time response voter able login able get response request second
The data transaction client server must encrypted using SSL technology.,SE,data transaction client server must encrypted using ssl technology
All passwords generated accepted must stored database encrypted form.,SE,password generated accepted must stored database encrypted form
To prevent attacks system generate random word ask user enter correctly multiple tryings.,SE,prevent attack system generate random word ask user enter correctly multiple tryings
The system warn ECA users malfunction system.,FT,system warn eca user malfunction system
The system simple use,LF,system simple use
The physician/pharmacist must valid user login access system.,F,physician pharmacist must valid user login access system
A failed login alert physician/pharmacist.,F,failed login alert physician pharmacist
A list available patients displayed login.,F,list available patient displayed login
An error message alerts invalid patient entered.,F,error message alert invalid patient entered
Backspace/reset capability implemented typing errors.,F,backspace reset capability implemented typing error
Selected specified patient's information loaded.,F,selected specified patient information loaded
Return List available patient loaded correct.,F,return list available patient loaded correct
Navigation selected tab.,F,navigation selected tab
The font larger enough easy reading.,F,font larger enough easy reading
Icons clearly illustrate feature represents.,F,icon clearly illustrate feature represents
Basic Patient information showed first.,F,basic patient information showed first
Customized information displayed.,F,customized information displayed
Each entry shown full.,F,entry shown full
The text time/date note entered displayed starting recent.,F,text time date note entered displayed starting recent
New Delete buttons allow physician/pharmacist add notation patient's file.,F,new delete button allow physician pharmacist add notation patient file
A description time/date prescription ordered given displayed starting recent.,F,description time date prescription ordered given displayed starting recent
All users system shall login using form unique identification.,SE,user system shall login using form unique identification
All login attempts shall done secure manner.,SE,login attempt shall done secure manner
The system shall compatible Microsoft Windows Operating System.,O,system shall compatible microsoft window operating system
The system shall allow administrator remove equipment.,F,system shall allow administrator remove equipment
The system shall allow administrator install additional distributed location templates.,F,system shall allow administrator install additional distributed location template
The system shall allow administrator remove physical locations.,F,system shall allow administrator remove physical location
The system shall allow administrators define negotiation rules organization.,F,system shall allow administrator define negotiation rule organization
The system shall give mediator privileges schedule location equipment resources.,F,system shall give mediator privilege schedule location equipment resource
The system shall allow mediator negotiate meeting date.,F,system shall allow mediator negotiate meeting date
The system shall allow mediator solve date conflict.,F,system shall allow mediator solve date conflict
The system shall allow mediator negotiate location / equipment.,F,system shall allow mediator negotiate location equipment
The system shall allow mediator solve location conflict.,F,system shall allow mediator solve location conflict
The system shall allow mediator send receive messages users.,F,system shall allow mediator send receive message user
The system shall allow initiator view information meetings initiated.,F,system shall allow initiator view information meeting initiated
The system shall allow initiator cancel meetings initiated.,F,system shall allow initiator cancel meeting initiated
The system shall allow initiator send receive messages users.,F,system shall allow initiator send receive message user
The system shall authenticate users beginning session.,F,system shall authenticate user beginning session
The system shall allow user view schedule.,F,system shall allow user view schedule
The system shall notify user schedule changes.,F,system shall notify user schedule change
The system shall allow users send receive messages.,F,system shall allow user send receive message
The system shall request user response initiator mediator messages.,F,system shall request user response initiator mediator message
The system shall allow user modify date preference set already submitted meeting response.,F,system shall allow user modify date preference set already submitted meeting response
The system shall allow user modify location preference set already submitted meeting response.,F,system shall allow user modify location preference set already submitted meeting response
The system shall allow user modify equipment requirement set already submitted meeting response.,F,system shall allow user modify equipment requirement set already submitted meeting response
The system shall allow user modify date exclusion set already submitted meeting response.,F,system shall allow user modify date exclusion set already submitted meeting response
The system shall allow user change password.,F,system shall allow user change password
The system shall allow user view past attended meetings.,F,system shall allow user view past attended meeting
The system shall allow user view pending meetings.,F,system shall allow user view pending meeting
The system shall show meetings user ascending time order default.,F,system shall show meeting user ascending time order default
The system shall allow users view equipment information.,F,system shall allow user view equipment information
The system shall allow users view users' information.,F,system shall allow user view user information
The system shall allow user specify custom meeting locations.,F,system shall allow user specify custom meeting location
The system shall allow users view location information.,F,system shall allow user view location information
The system shall allow users search available distributed location templates(if any).,F,system shall allow user search available distributed location template
The system shall allow users view information concerning available distributed location templates(if any).,F,system shall allow user view information concerning available distributed location template
