Requirement Text,Kategori
The estimator shall search for available recycled parts using damaged vehicle parts information.,UInR
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,UInR
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,UInR
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,UInR
The system shall retain the available recycled parts and suppliers returned from the search.,UInR
The estimator shall apply selected recycled parts to the collision estimate.,UInR
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,UInR
The user shall select to view the preferred repair facility ratings.,UInR
The current repair facility ratings shall be displayed to the user.,UInR
The system will display a blank set of ratings if there are not ratings yet defined.,UInR
The user shall enter new ratings based on the audit report,UInR
The ratings shall be from a scale of 1-10,UInR
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,UInR
The user shall select to save the preferred repair facility ratings.,UInR
The preferred repair facility ratings shall be saved by the system.,UInR
The product shall allow an organizer to invite other employees to meetings.,UInR
The product shall allow a user to remove himself or herself from the list of players at any time.,UInR
The product shall make inactive players unavailable for selection from the list of players.,UInR
The product shall remove players who have been inactive for 24 hours from the list of players.,UInR
Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.,UInR
The product shall allow a player to position ships horizontally on their grid.,UInR
The product shall allow the player to position ships vertically on their grid.,UInR
The product shall allow the player to position ships diagonally on their grid,UInR
The product shall prevent the player from overlapping ships on their grid.,UInR
The system shall allow a text search that users may use to find mail messages.,UInR
The system search feature should support the use of regular expressions in search.,UInR
The system shall provide an option to withdraw money.,UInR
The system shall query the user for the amount of money.,UInR
The system shall query the user for the account type.,UInR
Enable a user to view questions and their corresponding answers.,UInR
Enable a logged in user to ask questions.,UInR
Enable a logged in user to post answers.,UInR
Enable a logged in user to up vote and down vote answers.,UInR
The user must be able to set an option to hide information based on who has tagged it.,UInR
The user must be able to add photos from his/her photo library to his/her medical record.,UInR
A list of available patients is displayed after login.,UInR
An error message alerts when an invalid patient is entered.,UInR
Backspace/reset capability is implemented for typing errors.,UInR
Selected or specified patient's information is loaded.,UInR
Return to List is available if the patient loaded is not correct.,UInR
Navigation to each selected tab.,UInR
New and Delete buttons will allow the physician/pharmacist to add a notation to the patient's file.,UInR
A description and time/date of each prescription that has been ordered or given is displayed starting with most recent.,UInR
The system shall allow the user to view their schedule.,UInR
The system shall notify the user of any schedule changes.,UInR
The system shall allow users to send and receive messages.,UInR
The system shall request a user response to initiator or mediator messages.,UInR
The system shall allow the user to modify the date preference set of an already submitted meeting response.,UInR
The system shall allow the user to modify the location preference set of an already submitted meeting response.,UInR
The system shall allow the user to modify the equipment requirement set of an already submitted meeting response.,UInR
The system shall allow the user to modify the date exclusion set of an already submitted meeting response.,UInR
The system shall allow the user to view past attended meetings.,UInR
The system shall allow the user to view pending meetings.,UInR
The system shall enable user to add one or more component to the configuration.,UInR
The system shall notify the user about any conflict in the current configuration.,UInR
The system shall allow user to confirm the completion of current configuration.,UInR
The system shall allow user to select the support type he wants.,UInR
The system shall allow user to enter the customer and product information for the support.,UInR
The system shall allow user to enter the contact number for support personnel to call.,UInR
The system shall enable user to select the shipping method during payment process.,UInR
The system shall allow user to enter the order information for tracking.,UInR
The system shall allow user to select the payment method for order.,UInR
The system shall allow user to select the order to be changed.,UInR
The system shall allow user to cancel the order.,UInR
The system shall notify the user about any changes made to the order.,UInR
The system shall enable the user to enter their reviews and ratings.,UInR
The system shall allow user to select the financing option.,UInR
The system shall notify the use about the financing request.,UInR
The system shall allow user to select available promotion.,UInR
The system shall allow user to confirm the purchase.,UInR
The system shall enable user to enter the payment information.,UInR
Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,UInR
The system shall allow user to choose filling that they want.,UInR
The system shall allow user to choose their preferable topping.,UInR
The system shall allow user to decorate their doughnut.,UInR
The system shall give the user an opportunity for the user to choose the selection of doughnut provided.,UInR
The system should take the customer name.,UInR
The system should keep the customer contact number.,UInR
The system should keep the customer email.,UInR
The system should ask the user to key in the pickup date.,UInR
The system shall provide shopping cart during online purchase.,UInR
The system shall allow user to add/remove products in the shopping cart.,UInR
Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,BWR
The product shall allow a player to initiate a game by selecting another available player from the list of players.,BWR
The product shall prevent a player from viewing the offensive or defensive grids of the other player.,BWR
The system shall filter data by: Venues and Key Events.,BWR
The system shall provide charts for the Activity or Event actual versus assumed time.,BWR
The system shall provide a history report of changes made to the Activity or Event data,BWR
The system shall allow a real estate agent to query MLS information,BWR
The system shall update or create new property listings in the MLS,BWR
Realtor shall be able to generate a CMA report based on property criteria,BWR
The system shall be able to call the seller or buyer to schedule an appointment,BWR
The realtor shall be notified of new client appointments after automatic synchronization with office system,BWR
The realtor shall be able to retrieve a map showing property locations for a specified area,BWR
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,BWR
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,BWR
Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,BWR
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.,BWR
The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,BWR
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,BWR
Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,BWR
The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,BWR
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,BWR
The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,BWR
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,BWR
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,BWR
The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,BWR
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,BWR
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,BWR
The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,BWR
The recycled parts search results provided to the estimator shall be retrieved by the system.,BWR
The system shall generate an audit report based on the available recycled parts and the collision estimate.,BWR
The audit report shall include the total number of recycled parts used in the estimate.,BWR
The audit report shall include the number of available recycled parts from the original search results.,BWR
The audit report shall include the percentage of available recycled parts used in the estimate,BWR
The audit report shall include the total score of the audit which sums the indivual line items.,BWR
The product shall record meeting entries.,BWR
The product will notify employees of meeting invitations.,BWR
The product shall have the ability to send meeting reminders to employees.,BWR
The product shall assign the organizers contact information to each meeting they create.,BWR
The product will record meeting acknowledgements.,BWR
Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,BWR
The product shall record updated meeting agendas.,BWR
The product shall send a meeting confirmation to the meeting organizer.,BWR
The product shall record different meeting types.,BWR
The product shall record all the equipment that has been reserved.,BWR
The product shall notify building personnel of equipment transport requests.,BWR
The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,BWR
The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,BWR
Website shall request and authorize credit card payment before allowing a user to stream a movie.,BWR
System will allow customers to pay for a streaming movie with a pre-paid card.,BWR
Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.,BWR
System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.,BWR
System shall allow users to update their billing and contact information via the \93My Account\94 section of the website.,BWR
Pre-paid cards shall be distributed via email or via a printed paper card.,BWR
Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,BWR
Website must be able to support free trial periods with various parameters set by the Izogn Manager.,BWR
All streaming movie sales will be logged in the database and accessible by the administrator.,BWR
All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,BWR
Daily usage statistics should be logged and accessible by the administrator.,BWR
When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn.,BWR
For each turn the product shall identify one player as offensive status and one player as defensive status.,BWR
The product shall maintain the status of each player for a turn either offensive or defensive.,BWR
At the start of each turn the product shall notify each player of his or her status.,BWR
For each turn the product shall allow the offensive player to define a shot.,BWR
For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,BWR
For each shot the product shall notify the players whether the shot was a hit or miss.,BWR
For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,BWR
For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,BWR
When the hit results in sinking a ship the product shall notify the players that the ship was sunk.,BWR
When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.,BWR
When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,BWR
When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.,BWR
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,BWR
If the shot was marked as a miss the product shall change the status of the offensive player to defensive,BWR
If the shot was marked as a miss the product shall change the status of the defensive player to offensive,BWR
The product shall continue to assign turns until the game is ended.,BWR
The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player\92s ships which had not been previously marked as sunk.,BWR
The product shall allow a player to end a game at any time during the game.,BWR
When a game is ended the product shall notify the players that the game is ended.,BWR
The notification of the game ending will include the reason the game is ended (i.e. a player has won the game or a player has ended the game).,BWR
When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.,BWR
When a game is ended the product shall allow each player to remove himself or herself from the list of players.,BWR
The meeting scheduler system shall be able to select a participant as an important participant.,BWR
The meeting scheduler system shall cancel a meeting due to canceling of an important participant.,BWR
The meeting scheduler system shall reschedule a meeting to support conflict resolutions.,BWR
The meeting scheduler system may (optionally) automatically propose another meeting if current meeting is canceled by an important participant.,BWR
"The meeting scheduler system may provide the ""meeting initiator"" a summary of the scan of ""potential meeting participants"" showing available ""time slots"" and schedule conflicts as a means of informing the ""meeting initiator"" of the overall results of the system.",BWR
The meeting scheduler system may be able to include an agenda for a meeting proposal.,BWR
"The meeting scheduler system may suggest a ""virtual meeting"" for available ""time slots"" if no location is available or feasible for the meeting.",BWR
The meeting scheduler system may be able to include a list of required equipment for a meeting proposal.,BWR
"A meeting scheduler system will temporarily reserve the ""time slots"" for the proposed meeting.",BWR
"A meeting scheduler system will inform the ""potential meeting participant"" of the meeting.",BWR
Provide an interface for the admin to approve posts so that posts are not visible without admin approval.,BWR
Enable the admin to generate reports which contains all the posts and their corresponding replies.,BWR
Most of the system functions will be controlled using the administrative interface.,BWR
Information should be tagged according to who is entering the data.,BWR
Can purchase any product through valid credit card.,BWR
Can give feedback to the 24X7 Customer Care Service center about their impression for the site and services.,BWR
Can consult with the Administrator regarding product's quality and advertisements.,BWR
Responsible for managing stocks of each product items.,BWR
Keep track of all the payment transactions made by the customers and update the payment information.,BWR
Responsible for contacting the banks for the validation of the a/c number provided by the customer while purchasing and make the transaction from the given a/c.,BWR
Consult with the Administrator about the payment details of the customers for the updating of the database.,BWR
Provide feasible solutions to the customers on their complaints and queries.,BWR
The system shall give the mediator privileges to schedule location and equipment resources.,BWR
The system shall allow the mediator to negotiate a meeting date.,BWR
The system shall allow the mediator to solve a date conflict.,BWR
The system shall allow the mediator to negotiate a location / equipment.,BWR
The system shall allow the mediator to solve a location conflict.,BWR
